bronid,bron
MI0002,"Receptuurberekening, voor meer informatie zie receptenoverzicht op de website"
MI0114,"Berekend obv andere voedingsstoffen mbv een formule: kJ = 17 kJ/g eiwit + 17 kJ/g koolhydraten (excl voedingsvezel en polyolen) + 8 kJ/g voedingsvezel + 37 kJ/g vet + 29 kJ/g alcohol + 10 kJ/g polyolen + 13 kJ/g organische zuren"
MI0115,"Berekend obv andere voedingsstoffen mbv een formule: kcal = 4 kcal/g eiwit + 4 kcal/g koolhydraten (excl voedingsvezel en polyolen) + 2 kcal/g voedingsvezel + 9 kcal/g vet + 7 kcal/g alcohol + 2,4 kcal/g polyolen + 3 kcal/g organische zuren"
MI0125,"Berekend obv andere voedingsstoffen mbv een formule: dierlijk eiwit = totaal eiwit * percentage dierlijk eiwit"
MI0126,"Berekend obv andere voedingsstoffen mbv een formule: plantaardig eiwit = totaal eiwit - dierlijk eiwit"
MI0141,"Berekend obv andere voedingsstoffen mbv een formule: water = 100 - droge stof"
MI0144,"Berekend obv andere voedingsstoffen mbv een formule: water = 100 - eiwit - vet - beschikbare koolhydraten - voedingsvezel - alcohol - organische zuren - as"
MI0154,"Berekend obv andere voedingsstoffen mbv een formule: mono- en disachariden = beschikbare koolhydraten - polysachariden"
MI0161,"Berekend obv andere voedingsstoffen mbv een formule: polysachariden = beschikbare koolhydraten - mono- en disachariden"
MI0181,"Berekend obv andere voedingsstoffen mbv een formule: beschikbare koolhydraten =  mono- en disachariden + polysachariden"
MI0189,"Berekend obv andere voedingsstoffen mbv een formule: beschikbare koolhydraten = 100 - eiwit - vet - vezel - alcohol - organische zuren - as- water"
MI0201.00005,"Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product: 5 Rijst witte rauw"
MI0201.00007,"Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product: 7 Andijvie rauw"
MI0201.00012,"Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product: 12 Biet rode rauw"
MI0201.00014,"Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product: 14 Kool bloem- rauw"
MI0201.00019,"Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product: 19 Champignon rauw"
MI0201.00031,"Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product: 31 Paprika groene rauw"
MI0201.00037,"Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product: 37 Prei gekookt"
MI0201.00046,"Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product: 46 Sla krop- rauw"
