Productgroepcode,Productgroep_oms,Productcode,Product_omschrijving,Product_description,Product_synoniemen,Meeteenheid,Hoeveelheid,Commentaarregel,Verrijkt_met,Bevat_een_spoor_van,ENERCJ_kJ,ENERCC_kcal,PROT_g,PROTPL_g,PROTAN_g,NT_g,CHO_g,SUGAR_g,STARCH_g,POLYL_g,FIBT_g,ALC_g,WATER_g,OA_g,FAT_g,FACID_g,FASAT_g,FAMSCIS_g,FAPU_g,FAPUN3_g,FAPUN6_g,FATRS_g,F4_0_g,F6_0_g,F8_0_g,F10_0_g,F11_0_g,F12_0_g,F13_0_g,F14_0_g,F15_0_g,F16_0_g,F17_0_g,F18_0_g,F19_0_g,F20_0_g,F21_0_g,F22_0_g,F23_0_g,F24_0_g,F25_0_g,F26_0_g,FASATXR_g,F10_1CIS_g,F12_1CIS_g,F14_1CIS_g,F16_1CIS_g,F18_1CIS_g,F20_1CIS_g,F22_1CIS_g,F24_1CIS_g,FAMSCXR_g,F18_2CN6_g,F18_2CN9_g,F18_2CT_g,F18_2TC_g,F18_2R_g,F18_3CN3_g,F18_3CN6_g,F18_4CN3_g,F20_2CN6_g,F20_3CN9_g,F20_3CN6_g,F20_3CN3_g,F20_4CN6_g,F20_4CN3_g,F20_5CN3_g,F21_5CN3_g,F22_2CN6_g,F22_2CN3_g,F22_3CN3_g,F22_4CN6_g,F22_5CN6_g,F22_5CN3_g,F22_6CN3_g,F24_2CN6_g,FAPUXR_g,F10_1TRS_g,F12_1TRS_g,F14_1TRS_g,F16_1TRS_g,F18_1TRS_g,F18_2TTN6_g,F18_3TTTN3_g,F20_1TRS_g,F20_2TT_g,F22_1TRS_g,F24_1TRS_g,FAMSTXR_g,FAUN_g,CHORL_mg,NA_mg,K_mg,CA_mg,P_mg,MG_mg,FE_mg,HAEM_mg,NHAEM_mg,CU_mg,SE_mug,ZN_mg,ID_mug,ASH_g,VITA_RAE_mug,VITA_RE_mug,RETOL_mug,CARTBTOT_mug,CARTA_mug,LUTN_mug,ZEA_mug,CRYPXB_mug,LYCPN_mug,VITD_mug,CHOCALOH_mug,CHOCAL_mug,VITE_mg,TOCPHA_mg,TOCPHB_mg,TOCPHG_mg,TOCPHD_mg,VITK_mug,VITK1_mug,VITK2_mug,THIA_mg,RIBF_mg,VITB6_mg,VITB12_mug,NIA_mg,FOL_mug,FOLFD_mug,FOLAC_mug,VITC_mg
1,"Aardappelen en knolgewassen",1,"Aardappelen rauw","Potatoes raw",,g,100,"Per 100g.",,,371,88,2,2,0,,19,1,18,0,"1,8",0,77,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,2,450,6,60,22,"0,5",0,"0,5","0,09",1,"0,37","2,5",,1,1,0,5,0,100,16,3,0,0,0,0,"0,1",,,,,,,,"0,12","0,04","0,3",0,"1,2",23,23,0,14
1,"Aardappelen en knolgewassen",2,"Aardappelen nieuwe rauw","Potatoes new raw",,g,100,"Per 100g.",,,371,88,2,2,0,,19,1,18,0,"1,8",0,77,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,2,450,6,60,14,"0,5",0,"0,5","0,09",1,"0,2","2,5",,0,0,0,3,0,13,4,0,0,0,0,0,"0,1",,,,,,,,"0,12","0,04","0,3",0,"1,2",23,23,0,25
1,"Aardappelen en knolgewassen",3,"Aardappelen oude rauw","Potatoes old raw",,g,100,"Per 100g.",,CARTA,371,88,2,2,0,,19,1,18,0,"1,8",0,77,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,2,450,6,60,17,"0,5",0,"0,5","0,08",1,"0,3","2,5",,1,1,0,8,0,60,,,0,0,0,0,"0,1",,,,,,,,"0,12","0,04","0,22",0,"1,2",23,23,0,5
1,"Aardappelen en knolgewassen",121,"Aardappelpuree vers bereid m hv melk m marg","Potatoes mashed fresh prep w semi-sk milk+marg",,g,100,"Per 100g. Voor meer informatie zie Overzicht recepten op NEVO-website.",,,350,83,"2,2","1,4","0,9",,"13,9","1,4","12,6",0,"1,2",0,"80,1",0,"1,8","1,6","0,8","0,3","0,3","0,1","0,2",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,22",,,,,"0,08",,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,"1,5",21,292,38,57,17,"0,4",0,"0,4","0,06",0,"0,35","5,7","0,7",16,16,15,4,0,20,3,0,1,"0,1",0,"0,1","0,2",,,,,"0,2","0,1","0,1","0,06","0,06","0,15","0,12","0,8","14,5","14,5",0,7
1,"Aardappelen en knolgewassen",667,"Cassave rauw","Cassava raw","Maniokwortel rauw",g,100,"Per 100g.",,FAMSCIS,657,155,"0,6","0,6",0,"0,1","36,8","1,5","35,3",0,"1,7",0,"64,5",,"0,2","0,1","0,1","0,1",0,0,0,0,0,0,0,0,0,0,0,0,0,"0,05",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,05",0,0,0,0,"0,02",0,0,0,0,"0,01",0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,5,330,18,34,21,"0,5",0,"0,5","0,09",,"0,6",2,,1,1,0,8,0,,,0,,0,0,0,,,,,,,,,"0,06","0,02","0,3",0,"0,5",19,19,0,31
1,"Aardappelen en knolgewassen",668,"Taro rauw","Taro raw","Chinese tajer rauw; Chinese tayer rauw",g,100,"Per 100g.",,FAMSCIS,505,119,"1,4","1,4",0,"0,2","26,2","1,1","25,1",0,"3,5",0,"68,3",,"0,2","0,1","0,1",0,"0,1",0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,4,360,25,58,33,"0,8",0,"0,8","0,2",,"1,3",,,3,6,0,,,,,,,0,0,0,"2,4",,,,,,,,"0,08","0,03","0,08",0,"0,7",22,22,0,13
1,"Aardappelen en knolgewassen",669,"Yam rauw","Yam raw",,g,100,"Per 100g.",,,526,124,"1,5","1,5",0,"0,3","28,2","0,7","27,5",0,"1,3",0,"67,2",,"0,3","0,2","0,1",0,"0,1",0,"0,1",0,0,0,0,0,0,0,0,0,0,"0,13",0,"0,01",0,0,0,0,0,0,0,0,0,0,0,0,0,"0,01",0,0,0,0,"0,09",0,0,0,0,"0,01",0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,2,380,15,27,15,"0,7",0,"0,7","0,01",1,"0,3",2,,7,14,0,83,0,,,0,,0,0,0,"0,4","0,4",,,,,,,"0,16","0,01","0,16",0,"0,2",8,8,0,4
1,"Aardappelen en knolgewassen",670,"Pomtajer rauw","Tannia raw","Tajerknol rauw; Pomtayer rauw",g,100,"Per 100g.",,,577,136,2,2,0,,31,5,26,0,2,0,65,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,17,480,9,45,,"0,9",0,"0,9","0,3",,"0,5",,,0,0,0,,,,,,,0,0,0,,,,,,,,,"0,07","0,02","0,09",0,"0,5",17,17,0,16
1,"Aardappelen en knolgewassen",671,"Aardappel zoete rauw","Potato sweet raw","Bataat zoete rauw",g,100,"Per 100g.",,RIBF,413,98,"1,2","1,2",0,"0,2","21,3","5,7","15,6",0,"2,4",0,"73,7",,"0,3","0,2","0,1",0,"0,2",0,"0,1",0,0,0,0,0,0,0,0,0,0,"0,07",0,"0,01",0,0,0,0,0,0,0,0,0,0,0,0,0,"0,01",0,0,0,0,"0,13",0,0,0,0,"0,02",0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,40,370,24,50,18,"0,7",0,"0,7","0,14",1,"0,3",2,,718,1440,0,8611,0,,,0,,0,0,0,"0,3",,,,,,,,"0,17",0,"0,09",0,"0,5",17,17,0,23
1,"Aardappelen en knolgewassen",737,"Aardappelpuree instant- gem bereid","Potatoes mashed instant prepared av",,g,100,"Per 100g.",,,249,59,"1,4","0,7","0,8",,"12,5","0,4","12,1",0,"1,1",0,"84,3",,"0,1","0,1",0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,0,75,300,45,80,11,"0,3",0,"0,3","0,04",0,"0,19",,,16,16,16,4,0,,,1,,0,0,0,0,,,,,,,,"0,04","0,65","0,2","0,66",1,4,4,0,1
